"practice_code","practice_name","postcode","subicb_code","imd_score","imd_decile"
"A81001","THE DENSHAM SURGERY","TS18 1HU","16C",34.218517839445,2
"A81002","QUEENS PARK MEDICAL CENTRE","TS18 2AW","16C",32.2145623315001,3
"A81004","ACKLAM MEDICAL CENTRE","TS5 8SB","16C",26.0796436439148,4
"A81005","SPRINGWOOD SURGERY","TS14 7DJ","16C",15.2347374136229,8
"A81006","TENNANT STREET MEDICAL PRACTICE","TS18 2AT","16C",35.6904205177505,2
"A81007","BANKHOUSE SURGERY","TS24 7PW","16C",34.4365887991927,2
"A81009","VILLAGE MEDICAL CENTRE","TS5 6HF","16C",35.8878899027494,2
"A81011","CHADWICK PRACTICE","TS24 7PW","16C",35.7801612736215,2
"A81012","WESTBOURNE MEDICAL CENTRE","TS3 6AL","16C",52.9839284892638,1
"A81013","BROTTON SURGERY","TS12 2FF","16C",30.0646697965571,3
"A81014","QUEENSTREE PRACTICE","TS23 2LA","16C",23.0724815086946,5
"A81016","PARK SURGERY","TS1 3QY","16C",44.8642312465271,1
"A81017","WOODBRIDGE PRACTICE","TS17 0EE","16C",18.5359677317138,6
"A81018","BENTLEY MEDICAL PRACTICE","TS10 4NW","16C",31.6733249851515,3
"A81019","CROSSFELL HEALTH CENTRE","TS3 7RL","16C",51.5656362026997,1
"A81020","MARTONSIDE MEDICAL CENTRE","TS4 3BU","16C",33.2141574783684,2
"A81021","NORMANBY MEDICAL CENTRE","TS6 6TD","16C",37.0149797481405,2
"A81022","HILLSIDE PRACTICE","TS12 2TG","16C",27.9130159563517,4
"A81023","THE ENDEAVOUR PRACTICE","TS1 2NX","16C",47.0105251798561,1
"A81025","THE DOVECOT SURGERY","TS18 1HU","16C",35.0374068359839,2
"A81026","LINTHORPE SURGERY","TS5 6HA","16C",42.9351721455458,1
"A81027","YARM MEDICAL PRACTICE","TS15 9DD","16C",8.59803011396193,10
"A81029","PROSPECT SURGERY","TS1 2NX","16C",49.6352454134914,1
"A81030","BOROUGH ROAD & NUNTHORPE MEDICAL GROUP","TS1 3RY","16C",28.8926167023555,3
"A81031","HAVELOCK GRANGE PRACTICE","TS24 7PW","16C",37.3498218111753,2
"A81032","THE GARTH","TS14 7DJ","16C",18.5676137274103,6
"A81034","THORNABY & BARWICK MEDICAL GROUP","TS17 0EE","16C",20.3955570693033,6
"A81035","NEWLANDS MEDICAL CENTRE","TS1 3RX","16C",45.7342422162539,1
"A81036","NORTON MEDICAL CENTRE","TS20 2UZ","16C",28.344284112472,4
"A81037","THE ERIMUS PRACTICE","TS1 2NX","16C",47.48373932092,1
"A81038","HIRSEL MEDICAL CENTRE","TS3 6AL","16C",48.5740063124671,1
"A81039","EAGLESCLIFFE MEDICAL PRACTICE","TS16 9EA","16C",9.90507069699991,10
"A81040","MARSH HOUSE MEDICAL PRACTICE","TS23 2DG","16C",23.4174466909604,5
"A81041","HART MEDICAL PRACTICE","TS24 9DN","16C",35.4838740401024,2
"A81042","SOUTH GRANGE MEDICAL GROUP PRACTICE","TS6 9QG","16C",44.2526151816098,1
"A81043","THE MANOR HOUSE SURGERY","TS6 0HA","16C",34.6808786794413,2
"A81044","MCKENZIE HOUSE SURGERY","TS25 1QU","16C",34.7974233158402,2
"A81045","THE COATHAM ROAD SURGERY","TS10 1SR","16C",30.6380614296936,3
"A81046","WOODLANDS FAMILY MEDICAL CENTRE","TS18 1YE","16C",31.5209683212771,3
"A81048","ZETLAND MEDICAL PRACTICE","TS11 7BL","16C",17.3246154060843,7
"A81049","KINGS MEDICAL CENTRE","TS3 6AL","16C",51.3654545998504,1
"A81051","CAMBRIDGE MEDICAL GROUP","TS5 5NN","16C",28.6504622741764,3
"A81052","THE GREEN HOUSE SURGERY","TS10 4NW","16C",29.2771919233972,3
"A81053","WOODSIDE SURGERY","TS13 4HW","16C",36.9200054671169,2
